1,Подумать о хорошем,,LOW,null,2022-07-30T22:22:40.659373,2022-07-30T22:22:40.659373,Сибирко А.Е.,Сибирко А.Е.
2,Изучть программирование,,MEDIUM,null,2022-07-30T22:22:40.659373,2022-07-30T22:22:40.659373,Сибирко А.Е.,Сибирко А.Е.
3,ЯВдохнуть,,IMMEDIATE,null,2022-07-30T22:22:40.659373,2022-07-30T22:22:40.659373,Сибирко А.Е.,Сибирко А.Е.
4,Подумать о другом,,LOW,null,2022-07-30T22:22:40.659373,2022-07-30T22:22:40.659373,Сибирко А.Е.,Сибирко А.Е.
5,Подумать о вечном,,LOW,null,2022-07-30T22:22:40.659373,2022-07-30T22:22:40.659373,Сибирко А.Е.,Сибирко А.Е.
6,Подумать о вечном,,IMMEDIATE,null,2022-07-30T22:22:40.659373,2022-07-30T22:22:40.659373,Сибирко А.Е.,Сибирко А.Е.
7,Подумать о вечном,,MEDIUM,null,2022-07-30T22:22:40.659373,2022-07-30T22:22:40.659373,Сибирко А.Е.,Сибирко А.Е.
8,Подумать о вечном,,MEDIUM,2005-05-16T10:00,2022-07-30T22:22:40.664372,2022-07-30T22:22:40.664372,Сибирко А.Е.,Сибирко А.Е.
9,Подумать,,IMMEDIATE,1960-05-16T10:00,2022-07-30T22:22:40.664372,2022-07-30T22:22:40.664372,Сибирко А.Е.,Сибирко А.Е.
10,Подумать,,MEDIUM,1960-05-16T12:00,2022-07-30T22:22:40.664372,2022-07-30T22:22:40.664372,Сибирко А.Е.,Сибирко А.Е.
